Number,Steps
8758,216
3281,75
253,110
1542,35
1904,38
3527,57
2096,33
5143,55
4414,171
121,96
4104,39
4080,52
8889,185
1965,144
5945,50
4234,34
1922,51
6588,138
9362,48
9295,61
7243,58
3549,57
5383,73
6387,37
1202,58
313,131
2921,80
9270,92
6065,24
6978,89
6809,182
3373,44
4494,78
3820,31
7674,133
7225,45
5435,117
7229,120
3152,31
7972,53
4374,78
8496,128
180,19
4460,96
2118,33
5419,42
3338,137
7151,102
3771,114
6467,169
8933,141
8560,27
2554,59
9808,43
6267,63
3291,137
1159,58
4532,65
1980,100
5027,135
4622,153
4332,140
263,79
282,17
55,113
4042,65
4654,153
146,117
9356,61
8599,66
9924,43
3065,155
1262,40
2070,126
7840,27
9239,154
9987,167
8188,159
2871,80
4899,135
4258,127
5825,50
2590,41
9998,92
7775,53
2365,59
5408,55
4337,47
9748,136
1559,61
4717,60
9553,105
2600,28
8918,48
4961,73
5432,68
1505,40
952,37
1150,45
5715,174
3138,36
8596,27
3156,31
3142,124
6233,63
4866,47
2897,142
1549,123
4652,153
5669,81
6616,45
4354,140
35,14
3766,88
4427,96
2730,15
3725,39
2957,23
8720,48
7818,102
8203,159
6191,169
6569,213
626,132
1646,136
6983,89
2165,46
1019,63
1515,141
5568,37
6712,89
5136,29
6127,63
4511,153
927,117
5133,55
6295,125
6639,76
1552,123
8379,159
9085,66
918,130
8943,154
3438,150
9730,48
8012,146
7495,71
7004,32
4655,91
2515,41
1820,43
1323,53
4956,135
9442,123
4914,135
8078,146
6403,169
787,60
8573,172
5214,86
3355,93
9117,154
8563,128
4152,65
6839,151
9172,110
2041,64
6709,45
5864,99
1092,32
5519,161
1034,125
6477,50
4174,114
9568,123
5346,117
3054,155
7,17
7544,40
8819,79
7394,40
813,42
9995,66
2605,103
7171,76
2489,41
6819,138
1543,110
9973,136
1060,125
3602,163
5925,37
6084,112
5625,161
6877,151
1168,120
3604,57
2043,157
6660,182
7131,195
8627,53
4094,158
4587,122
4980,91
6481,169
4896,42
2579,147
656,114
537,23
3429,31
9276,61
6448,24
9651,61
977,99
3937,127
3271,137
9419,105
8430,159
1930,25
5138,55
327,144
9883,167
8853,141
242,97
6567,76
1063,76
489,49
298,25
2133,33
1758,149
1563,154
3340,137
2403,59
7274,19
3588,70
7427,71
9894,123
2173,139
3654,132
5594,68
5888,24
3919,83
6308,94
3420,57
1106,138
4262,78
5689,130
4382,78
6796,63
9397,123
2716,67
1586,79
5300,29
5358,29
2767,98
5286,104
4204,96
528,31
523,124
4877,135
6015,156
8367,159
208,14
8150,159
9293,185
9433,35
8753,79
3123,62
194,120
6034,42
1845,38
3178,31
9583,136
1377,159
5355,99
5479,192
230,35
986,50
2159,126
1517,61
2656,116
7065,102
5807,112
8489,66
8260,128
2865,28
4377,78
5977,50
9230,92
5874,55
6479,125
8770,141
4011,189
8344,128
9083,92
5169,55
4557,60
2822,36
8212,40
7424,27
9118,154
2879,129
8899,71
118,34
1434,35
7688,53
7001,32
6681,94
5265,42
63,108
5892,99
1881,38
7617,177
4758,78
8481,110
8668,141
34,14
7837,84
8114,115
5921,187
5274,55
6027,187
640,13
1715,30
3323,119
8568,172
9204,48
2450,134
7966,53
357,33
2669,147
7098,58
9310,92
7367,120
6401,125
8693,141
191,45
5901,143
9034,40
4589,60
3814,31
4949,29
3712,26
9269,35
492,49
6236,63
6473,125
2264,64
4659,153
7152,102
9383,110
1131,37
2748,41
6273,63
3978,26
6234,63
9577,154
9008,48
7312,133
5660,37
1893,38
5871,81
8707,141
5501,42
6746,45
2609,54
8629,53
8981,48
1033,156
9133,61
1391,115
4731,60
4865,47
648,26
932,86
9816,136
7626,32
8547,66
4383,78
690,127
7230,71
8227,40
806,21
5667,130
9545,79
8490,128
8458,84
4165,127
7557,84
9403,61
2645,116
4983,104
9198,154
7068,151
9944,74
2389,28
9736,136
7618,177
3514,57
7468,40
2375,165
1444,48
736,21
3035,155
8074,115
7031,151
7789,84
7431,71
8335,115
3924,26
2059,38
441,28
6775,45
1713,30
9032,40
3920,26
3331,181
9212,61
3686,132
9774,48
6494,50
4437,21
816,29
709,34
5395,161
8457,58
9253,110
1317,53
5526,42
8170,53
6280,125
2459,103
5492,130
1575,61
8224,128
9649,61
3332,31
4124,39
2332,33
7878,27
4846,73
6493,138
2250,46
3740,132
412,90
6557,107
8609,172
2062,38
1978,51
5688,68
3283,75
5401,161
5538,68
3215,168
4059,65
834,135
7575,84
183,94
3573,75
3490,150
2800,85
470,129
4740,153
7369,45
4944,29
8663,128
4218,83
3633,70
751,140
7288,45
3144,62
4624,34
2222,33
8452,84
8294,40
1041,125
2708,54
3468,31
6624,94
7982,53
1815,56
2226,139
9401,61
2004,113
4761,34
9554,105
3494,150
2740,129
5208,104
4640,122
951,29
2555,59
7055,58
7507,164
6706,45
6094,63
209,40
7773,40
2731,116
5748,55
6366,63
3751,62
2266,64
5197,148
4785,73
1649,30
9473,61
6727,50
7120,76
7819,40
3379,36
7870,102
3840,26
9305,92
7418,120
9463,61
2469,134
4476,91
8601,66
7979,53
3585,75
5279,78
1349,115
7178,71
1540,35
1023,63
9877,136
8632,53
7723,53
2678,28
117,21
8631,128
3892,101
7686,146
3187,124
5884,174
2719,67
4341,47
9827,136
1679,87
3913,145
2119,82
7973,53
6045,94
5202,179
2248,46
1049,63
2942,173
7682,40
5065,73
3083,36
9408,123
3141,124
1513,66
858,104
9119,66
3950,39
2049,157
3662,70
7266,71
6801,89
5057,73
4900,135
4820,21
3431,119
8618,35
3850,52
8138,159
1188,76
1247,133
2950,142
4749,78
2954,23
3843,145
9437,61
2150,25
1390,128
1774,56
8735,141
7815,133
9093,141
9087,185
3076,36
777,34
8283,97
6575,76
2392,121
7820,102
4006,145
3729,70
5475,42
9567,79
5619,161
8742,110
3622,70
1704,17
5496,42
2835,80
608,26
7810,102
9830,136
5549,68
486,98
7254,58
5246,104
5392,117
3465,150
1527,154
4618,34
7494,89
7416,120
5293,55
9299,136
8473,58
5522,130
3020,67
5326,86
6764,138
4860,166
9676,61
9050,40
614,39
5533,99
8594,27
8835,97
7440,40
5334,47
6640,138
7155,76
8349,115
3119,49
33,27
5398,68
9698,22
7640,32
6037,68
1992,51
1888,38
3384,36
1232,27
4614,153
1242,89
924,130
3084,36
3416,57
8640,48
6126,63
3973,96
3711,238
6380,76
1664,17
4713,153
3935,101
9363,48
6235,187
1170,58
2753,129
6544,45
9764,74
7237,58
7958,97
4141,127
6997,120
8858,141
3610,57
9155,154
8927,48
1012,112
4700,122
8440,172
2810,85
439,54
1397,35
5986,50
9022,154
2418,59
5752,55
2169,77
301,17
6036,68
9388,110
7963,252
284,105
6856,32
7265,164
8048,71
7272,19
4452,140
776,122
8836,79
7909,146
604,18
2641,103
4288,34
25,24
3175,199
2237,90
2798,67
211,40
9196,154
7457,71
1683,43
700,83
692,34
7019,45
6474,50
8976,48
8856,141
6619,138
6001,50
4904,42
9096,22
4100,39
